  year  month  day    lat     lon     vgs     ugs   adts
1993.0    1.0  1.0 35.875 133.875  0.0966 -0.0848 0.6348
1993.0    1.0  1.0 35.875 134.125  0.1583 -0.0804 0.6691
1993.0    1.0  1.0 35.875 134.375  0.1146 -0.0088 0.6982
1993.0    1.0  1.0 35.875 134.625  0.0458  0.0714 0.7118
1993.0    1.0  1.0 35.875 134.875 -0.0236  0.1322 0.7106
1993.0    1.0  1.0 35.875 135.125 -0.0686  0.1422 0.6960
1993.0    1.0  1.0 35.875 135.375 -0.0428  0.0833 0.6828
1993.0    1.0  1.0 35.875 135.625  0.0028 -0.0003 0.6834
1993.0    1.0  1.0 35.875 135.875 -0.0169 -0.0287 0.6850
1993.0    1.0  1.0 35.875 140.875  0.0522 -0.0833 0.4907
1993.0    1.0  1.0 35.875 141.125  0.0807 -0.0485 0.5155
1993.0    1.0  1.0 35.875 141.375  0.0988  0.1513 0.5289
1993.0    1.0  1.0 35.875 141.625  0.1886  0.4875 0.5483
1993.0    1.0  1.0 35.875 141.875  0.4145  0.7974 0.6061
1993.0    1.0  1.0 36.125 129.625  0.3283  0.0303 0.4938
1993.0    1.0  1.0 36.125 129.875  0.4019 -0.0131 0.5661
1993.0    1.0  1.0 36.125 130.125  0.2866 -0.1238 0.6320
1993.0    1.0  1.0 36.125 130.375  0.0880 -0.2222 0.6675
1993.0    1.0  1.0 36.125 130.625 -0.1536 -0.2135 0.6577
1993.0    1.0  1.0 36.125 130.875 -0.2574 -0.0988 0.6108
1993.0    1.0  1.0 36.125 131.125 -0.1516  0.0261 0.5661
1993.0    1.0  1.0 36.125 131.375  0.0108  0.0806 0.5530
1993.0    1.0  1.0 36.125 131.625  0.0541  0.0840 0.5630
1993.0    1.0  1.0 36.125 131.875  0.0013  0.0702 0.5712
1993.0    1.0  1.0 36.125 132.125 -0.0055  0.0433 0.5724
1993.0    1.0  1.0 36.125 132.375  0.1102  0.0028 0.5827
1993.0    1.0  1.0 36.125 132.625  0.2376 -0.0325 0.6184
1993.0    1.0  1.0 36.125 132.875  0.1734 -0.0369 0.6635
1993.0    1.0  1.0 36.125 133.125 -0.0249 -0.0312 0.6612
1993.0    1.0  1.0 36.125 133.375 -0.0996 -0.0210 0.6367
1993.0    1.0  1.0 36.125 133.625  0.0055 -0.0210 0.6377
1993.0    1.0  1.0 36.125 133.875  0.1123 -0.0487 0.6576
1993.0    1.0  1.0 36.125 134.125  0.1238 -0.0466 0.6869
1993.0    1.0  1.0 36.125 134.375  0.0544 -0.0028 0.7029
1993.0    1.0  1.0 36.125 134.625 -0.0142  0.0439 0.7043
1993.0    1.0  1.0 36.125 134.875 -0.0635  0.0889 0.6962
1993.0    1.0  1.0 36.125 135.125 -0.0567  0.0956 0.6809
1993.0    1.0  1.0 36.125 135.375  0.0242  0.0442 0.6766
1993.0    1.0  1.0 36.125 135.625  0.0786 -0.0197 0.6942
1993.0    1.0  1.0 36.125 135.875  0.0161 -0.0187 0.7047
1993.0    1.0  1.0 36.125 140.875  0.0797 -0.0315 0.4990
1993.0    1.0  1.0 36.125 141.125 -0.0069  0.0046 0.5320
1993.0    1.0  1.0 36.125 141.375 -0.1531  0.0831 0.5127
1993.0    1.0  1.0 36.125 141.625 -0.1480  0.2211 0.4719
1993.0    1.0  1.0 36.125 141.875  0.1069  0.4001 0.4664
1993.0    1.0  1.0 36.375 129.625  0.3340 -0.0058 0.4879
1993.0    1.0  1.0 36.375 129.875  0.4898 -0.0302 0.5716
1993.0    1.0  1.0 36.375 130.125  0.4259 -0.1011 0.6630
1993.0    1.0  1.0 36.375 130.375  0.1641 -0.1919 0.7218
1993.0    1.0  1.0 36.375 130.625 -0.2159 -0.2302 0.7145
1993.0    1.0  1.0 36.375 130.875 -0.4247 -0.1725 0.6434
1993.0    1.0  1.0 36.375 131.125 -0.2992 -0.0526 0.5651
1993.0    1.0  1.0 36.375 131.375 -0.0454  0.0396 0.5322
1993.0    1.0  1.0 36.375 131.625  0.0529  0.0728 0.5371
1993.0    1.0  1.0 36.375 131.875  0.0329  0.0722 0.5482
1993.0    1.0  1.0 36.375 132.125  0.0607  0.0439 0.5584
1993.0    1.0  1.0 36.375 132.375  0.1685 -0.0093 0.5810
1993.0    1.0  1.0 36.375 132.625  0.2427 -0.0255 0.6248
1993.0    1.0  1.0 36.375 132.875  0.1582  0.0110 0.6692
1993.0    1.0  1.0 36.375 133.125 -0.0262  0.0288 0.6635
1993.0    1.0  1.0 36.375 133.375 -0.1004  0.0376 0.6356
1993.0    1.0  1.0 36.375 133.625  0.0062  0.0795 0.6338
1993.0    1.0  1.0 36.375 133.875  0.1260  0.1149 0.6588
1993.0    1.0  1.0 36.375 134.125  0.1178  0.1172 0.6925
1993.0    1.0  1.0 36.375 134.375  0.0197  0.1177 0.7038
1993.0    1.0  1.0 36.375 134.625 -0.0610  0.1455 0.6963
1993.0    1.0  1.0 36.375 134.875 -0.0769  0.1615 0.6802
1993.0    1.0  1.0 36.375 135.125 -0.0040  0.1143 0.6686
1993.0    1.0  1.0 36.375 135.375  0.1052  0.0267 0.6769
1993.0    1.0  1.0 36.375 135.625  0.1264 -0.0319 0.7032
1993.0    1.0  1.0 36.375 135.875 -0.0184 -0.0220 0.7167
1993.0    1.0  1.0 36.375 136.125 -0.1269  0.0408 0.6919
